Flag of vessel,Date vessel departed with captives,Vessel name,Captain's name
Netherlands,,Maria Geertruid Galei,"Beekman, Godfried"
Netherlands,,Maria Geertruid Galei,"Beekman, Godfried"
Netherlands,,Maria Geertruid Galei,"Beekman, Godfried"
Netherlands,,Maria Geertruid Galei,"Beekman, Godfried"
Netherlands,1769-04-01T00:00:00Z,Maria Isabella,"Harmel, Jan"
Netherlands,,Maria Isabella,"Harmel, Jan"
Netherlands,1771-08-12T00:00:00Z,Maria Isabella,"Harmel, Jan"
Netherlands,1774-01-13T00:00:00Z,Maria Isabella,"Edebool, Carsten"
Netherlands,,Maria Isabella,"Edebool, Carsten"
Netherlands,,Maria Jacoba,"Wickman, Albert"
Netherlands,,Maria Jacoba,
Netherlands,,Maria Jacoba,"Wickman, Albert"
Netherlands,,Maria Jacoba,"Wickman, Albert"
Netherlands,,Maria Jacoba,"Wickman, Albert"
Netherlands,,Maria Jacoba,"Wickman, Albert"
Netherlands,1767-03-22T00:00:00Z,Maria,"Jansen, Jan"
Netherlands,,Maria,"Jansen, Jan"
Netherlands,,Maria,"Jansen, Jan"
Netherlands,,Maria,"Jansen, Jan"
Netherlands,,Maria,"Pieters, Carel"
Netherlands,,Maria,"Pieters, Carel"
Netherlands,,Maria,"Pieters, Carel"
Netherlands,1790-01-31T00:00:00Z,Meerenberg,"Hansen, Matthijs"
Netherlands,,Meermin,"Hogerzeijl, Martinus Bruijn"
Netherlands,1765-01-30T00:00:00Z,Meermin,"Hogerzeijl, Martinus Bruijn"
Netherlands,,Meermin,"Hogerzeijl, Martinus Bruijn"
