,Flag of vessel,Date vessel departed with captives,Vessel name,Captain's name
268,Netherlands,1790-11-15T00:00:00Z,Jonge Dirk,"Grim, Jochem"
269,Netherlands,1793-08-27T00:00:00Z,Jonge Dirk,"Grim, Jochem"
270,Netherlands,,Jonge Hendrik,"Beeter, Jacob<br/> Leger, Jan<br/> Lagorde"
271,Netherlands,1754-10-21T00:00:00Z,Jonge Isaac,"Beekman, Godfried"
272,Netherlands,,Jonge Isaac,"Beekman, Godfried"
273,Netherlands,,Jonge Isaac,"Beekman, Godfried"
274,Netherlands,,Jonge Jacob,"Moeremans, Jan"
275,Netherlands,1769-10-29T00:00:00Z,Jonge Jacob,"Molder, Willem de<br/> Baas, Isaac den"
276,Netherlands,,Jonge Jacob,"Mick, C F"
277,Netherlands,,Jonge Jacob,"Mick, C F"
278,Netherlands,,Jonge Jacob,"Nap, Claas"
279,Netherlands,,Jonge Jacob,"Nap, Claas<br/> Mick, C F"
280,Netherlands,,Jonge Jacob,"Nap, Claas<br/> Havinga"
281,Netherlands,,Jonge Jan,"Hambeek, Hendrik"
282,Netherlands,1765-01-17T00:00:00Z,Jonge Jan,"Bevers, Anthony"
283,Netherlands,1783-12-17T00:00:00Z,Jonge Jan,"Riems, Jan"
284,Netherlands,1791-10-18T00:00:00Z,Jonge Jan,"Bakker, Dirk"
285,Netherlands,,Jonge Johannes,"Zell, Georg Christoff"
286,Netherlands,,Jonge Johannes,"Zell, Georg Christoff"
287,Netherlands,,Jonge Lambregt,"Langebeek, Abraham"
288,Netherlands,,Jonge Lambregt,"Langebeek, Abraham"
289,Netherlands,,Jonge Lambregt,"Langebeek, Abraham"
290,Netherlands,,Jonge Lambregt,"Langebeek, Abraham<br/> Smit, Michiel"
291,Netherlands,1773-07-28T00:00:00Z,Jonge Lambregt,"Bremer, Carel"
292,Netherlands,,Jonge Lambregt,"Bremer, Carel<br/> Vervenne, Cornelis"
293,Netherlands,1767-03-27T00:00:00Z,Jonge Matheus en Catharina,"Pauw, Jan"
294,Netherlands,,Jonge Pedro,
295,Netherlands,,Jonge Pedro,
296,Netherlands,,Jonge Pedro,
297,Netherlands,,Jonge Pedro,"Vallé, Jacob"
298,Netherlands,,Jonge Pedro,"Cannel, Jan"
299,Netherlands,,Jonge Pieter Galeij,
300,Netherlands,,Jonge Rombout,"Bevers, Anthony"
301,Netherlands,,Jonge Rombout,"Bevers, Anthony"
302,Netherlands,,Jonge Rombout,"Bevers, Anthony"
303,Netherlands,,Jonge Rombout,"Bevers, Anthony"
304,Netherlands,,Jonge Ruiter,"Klerk, Isaac de"
305,Netherlands,,Jonge Ruiter,"Klerk, Isaac de"
306,Netherlands,1769-07-28T00:00:00Z,Jonge Ruiter,"Klerk, Isaac de"
307,Netherlands,,Jonge Ruiter,"Klerk, Isaac de"
308,Netherlands,1772-09-10T00:00:00Z,Jonge Ruiter,"Klerk, Isaac de"
309,Netherlands,,Jonge Ruiter,"Klerk, Isaac de"
310,Netherlands,,Jonge Ruiter,"Klerk, Isaac de"
311,Netherlands,,Jonge Samuel,"Hollander, Cornelis Andries"
312,Netherlands,,Jonge Samuel,"Hollander, Cornelis Andries"
313,Netherlands,,Jonge Samuel,"Oorbaan, Willem"
314,Netherlands,,Jonge Samuel,"Harmensz, G<br/> Klerk, François de"
315,Netherlands,1778-07-06T00:00:00Z,Jonge Samuel,"Klerk, François de"
316,Netherlands,,Jonge Stam,"Hollander, Cornelis Andries"
