,Flag of vessel,Date vessel departed with captives,Vessel name,Captain's name,Reordered Captain's name respelled,Original Captain's name,Vessel name corrected,Original Vessel name
1243,Netherlands,1700-05-31T00:00:00Z,Graaf van Laarwijk (a) Conde de Vique,"Stolck, Cornelis Gijsen van der", Cornelis Gijsen van der Stolck,,Graaf van Laarwijk , Conde de Vique
1244,Netherlands,,Griffioen,"Lens, Christoffel", Christoffel Lens,,,
1245,Netherlands,1728-06-19T00:00:00Z,Groot Bentvelt,"Graan, Andries", Andries Graan,,,
1246,Netherlands,1699-05-21T00:00:00Z,Grote Apollo,"Napels, Arent Hendriksz", Arent Hendriksz Napels,,,
1247,Netherlands,1705-08-26T00:00:00Z,Grote Tijger,"Sas, Jurriaan", Jurriaan Sas,,,
1248,Netherlands,1705-08-26T00:00:00Z,Grote Tijger,"Valies, Thomas Jansz", Thomas Jansz Valies,,,
1249,Netherlands,1681-11-04T00:00:00Z,Grote Africaan,"Remmersz, Gerrit", Gerrit Remmersz,,,
1250,Netherlands,1683-04-01T00:00:00Z,Grote Africaan,"Warwijk, Jan", Jan Warwijk,,,
1251,Netherlands,,Grote Africaan,"Leeck, Mecke Dricksz van", Mecke Dricksz van Leeck,,,
1252,Netherlands,1714-10-09T00:00:00Z,Gunterstein,"Saanen, Jan van", Jan van Saanen,,,
1253,Netherlands,,Gunterstein,"Kennis, Adriaan", Adriaan Kennis,,,
1254,Netherlands,1718-08-05T00:00:00Z,Gunterstein,"Heijm, Jan van der", Jan van der Heijm,,,
1255,Netherlands,1718-08-05T00:00:00Z,Gunterstein,"Seegers, Huibert Assueris van", Huibert Assueris van Seegers,,,
1256,Netherlands,1720-08-15T00:00:00Z,Gunterstein,"Seegers, Huibert Assueris van", Huibert Assueris van Seegers,,,
1257,Netherlands,1720-08-15T00:00:00Z,Gunterstein,"Zegert, Hans van", Hans van Zegert,,,
1258,Netherlands,,Gunterstein,"Hoogendam, Jan", Jan Hoogendam,,,
1259,Netherlands,,Gunterstein,"Blom, Nicolaas", Nicolaas Blom,,,
1260,Netherlands,1728-01-31T00:00:00Z,S João Batista e Almas (a) Helena,"Farto, José Ramalho", José Ramalho Farto,,S João Batista e Almas , Helena
1261,Netherlands,1728-01-31T00:00:00Z,S João Batista e Almas (a) Helena,"Phelan, Edmund", Edmund Phelan,,S João Batista e Almas , Helena
1262,Netherlands,1728-01-31T00:00:00Z,S João Batista e Almas (a) Helena,"Booms, Anthony", Anthony Booms,,S João Batista e Almas , Helena
1263,Netherlands,1735-06-16T00:00:00Z,Helena,"Baarspul, Theunis", Theunis Baarspul,,,
1264,Netherlands,,Henricus,"Claver, Jan Claasz", Jan Claasz Claver,,,
1265,Netherlands,1687-04-03T00:00:00Z,Hollandia,"Schepmoes, Abraham", Abraham Schepmoes,,,
1266,Netherlands,1711-08-20T00:00:00Z,Honard,"Verhoeven, Jacob", Jacob Verhoeven,,,
1267,Netherlands,1680-03-14T00:00:00Z,Huis Nassau,"Vos, Harmen Claesz de", Harmen Claesz de Vos,,,
1268,Netherlands,1686-07-10T00:00:00Z,Huis te Loirheim,"Scheij, Pieter", Pieter Scheij,,,
1269,Netherlands,1675-10-26T00:00:00Z,Huis ter Laan,"Balck, Jan Jacobsz", Jan Jacobsz Balck,,,
1270,Netherlands,1699-08-25T00:00:00Z,Jager,"Daal, Juriaan", Juriaan Daal,,,
1271,Netherlands,1699-08-25T00:00:00Z,Jager,"Geelboom, Jan", Jan Geelboom,,,
1272,Netherlands,,Jager,"Laa, D de", D de Laa,,,
1273,Netherlands,,Jager,"Genegten, Nicolaas v/d", Nicolaas v/d Genegten,,,
1274,Netherlands,,Johanna Maria,"Keuvel, Steven", Steven Keuvel,,,
1275,Netherlands,,Johanna Machteld,"Kist, Jan Claasz", Jan Claasz Kist,,,
1276,Netherlands,,Johanna Machteld,"Grootschaar, Pieter", Pieter Grootschaar,,,
1277,Netherlands,,Johannes de Doper (a) S Jan Baptist,"Rijk, Willem Robbertsz", Willem Robbertsz Rijk,,Johannes de Doper , S Jan Baptist
1278,Netherlands,,Johannes de Doper (a) S Jan Baptist,"Valies, Thomas Jansz", Thomas Jansz Valies,,Johannes de Doper , S Jan Baptist
1279,Netherlands,1731-07-07T00:00:00Z,Jonge Daniel,"Port, Gerrit van der", Gerrit van der Port,,,
1280,Netherlands,1734-02-12T00:00:00Z,Jonge Daniel,"Port, Gerrit van der", Gerrit van der Port,,,
1281,Netherlands,1735-12-24T00:00:00Z,Jonge Daniel,"Port, Gerrit van der", Gerrit van der Port,,,
1282,Netherlands,1738-09-17T00:00:00Z,Jonge Daniel,"Swaan, Adriaan", Adriaan Swaan,,,
1283,Netherlands,,Jonge Jager,"Beeck, Simon Jansz ter", Simon Jansz ter Beeck,,,
1284,Netherlands,,Jonge Willem,"Tromp, Jacob", Jacob Tromp,,,
1285,Netherlands,1706-12-24T00:00:00Z,Justitia,"Marcusz, Daniel", Daniel Marcusz,,,
1286,Netherlands,1708-06-16T00:00:00Z,Justitia,"Marcusz, Daniel", Daniel Marcusz,,,
1287,Netherlands,,Koning Salomon,"Goes, Willem Jansen", Willem Jansen Goes,,,
1288,Netherlands,,Koning Salomon,"Someren, Dirck Jorisz van", Dirck Jorisz van Someren,,,
1289,Netherlands,1686-06-16T00:00:00Z,Koning Salomon,"Dijk, Leendert Joosten van", Leendert Joosten van Dijk,,,
1290,Netherlands,1686-06-16T00:00:00Z,Koning Salomon,"Goes, Willem Jansen", Willem Jansen Goes,,,
1291,Netherlands,,Porto Prince (a) Korte Prins,"Gibson, Willem", Willem Gibson,,Porto Prince , Korte Prins
1292,Netherlands,,Leusden,"Thijl, Jacob", Jacob Thijl,,,
1293,Netherlands,,Leusden,"Schamp, Jan", Jan Schamp,,,
1294,Netherlands,1722-07-04T00:00:00Z,Leusden,"Ras, Pieter", Pieter Ras,,,
1295,Netherlands,1724-03-12T00:00:00Z,Leusden,"Ras, Pieter", Pieter Ras,,,
1296,Netherlands,1725-11-01T00:00:00Z,Leusden,"Schamp, Jan", Jan Schamp,,,
1297,Netherlands,,Leusden,"Schamp, Jan", Jan Schamp,,,
1298,Netherlands,1729-09-01T00:00:00Z,Leusden,"Outjes, Jochem", Jochem Outjes,,,
1299,Netherlands,1729-09-01T00:00:00Z,Leusden,"Ovens, Simon", Simon Ovens,,,
1300,Netherlands,1731-06-13T00:00:00Z,Leusden,"Harmensz, Bruijn", Bruijn Harmensz,,,
1301,Netherlands,1733-03-25T00:00:00Z,Leusden,"Graan, Andries", Andries Graan,,,
1302,Netherlands,1735-08-29T00:00:00Z,Leusden,"Velde, Daniel te", Daniel te Velde,,,
1303,Netherlands,1737-11-19T00:00:00Z,Leusden,"Lodewijksz, Lodewijk", Lodewijk Lodewijksz,,,
1304,Netherlands,1737-11-19T00:00:00Z,Leusden,"Outjes, Jochem", Jochem Outjes,,,
1305,Netherlands,,Levant,"Jansen, Gabriel", Gabriel Jansen,,,
